,estacion,link,localidad,temp_C,razon_lluvia,HR,vel_viento,racha_viento,acum_calc,letra_dir,REGIÓN_2,MPO_2,REF
54,ICABOC2,https://www.wunderground.com/dashboard/pws/ICABOC2,"Cabo Corrientes, MX",24.499999999999996,0.0,76,2.8962,3.5398,0.0,N,SIERRA COSTA-OCCIDEN,Cabo Corrientes,Playa Yelapa
56,IPUERTOV6,https://www.wunderground.com/dashboard/pws/IPUERTOV6,"Puerto Vallarta Municipality, MX",26.722222222222218,0.0,67,3.218,14.481,0.0,SSW,SIERRA COSTA-OCCIDEN,Puerto Vallarta,Av. Francisco Medina Ascencio 
59,ISANSE127,https://www.wunderground.com/dashboard/pws/ISANSE127,"San Sebastián del Oeste, MX",24.27777777777778,0.0,37,4.6661,5.4706,0.0,WSW,SIERRA COSTA-OCCIDEN,San Sebastián del Oeste,Presidencia Municipal
60,ITALPA1,https://www.wunderground.com/dashboard/pws/ITALPA1,"Talpa de Allende, MX",24.388888888888893,0.0,35,6.436,9.654,0.0,W,SIERRA COSTA-OCCIDEN,Talpa de Allende,Base 09
61,ITALPA3,https://www.wunderground.com/dashboard/pws/ITALPA3,"Talpa de Allende, MX",28.000000000000004,0.0,38,3.5398,5.4706,0.0,W,SIERRA COSTA-OCCIDEN,Talpa de Allende,Localidad La Cuesta
62,IGUACH3,https://www.wunderground.com/dashboard/pws/IGUACH3,"Guachinango, MX",23.22222222222222,0.0,32,5.7924,13.1938,0.0,E,SIERRA COSTA-OCCIDEN,Guachinango,Campo de Futbol
63,IMIXTL1,https://www.wunderground.com/dashboard/pws/IMIXTL1,"Mixtlán, MX",22.22222222222222,0.0,41,7.4014,14.8028,0.0,N,SIERRA COSTA-OCCIDEN,Mixtlán,Localidad Los Fresnos
64,IATENG1,https://www.wunderground.com/dashboard/pws/IATENG1,"Atenguillo, MX",23.5,0.0,34,3.7007,8.5277,0.0,W,SIERRA COSTA-OCCIDEN,Atenguillo,Centro
65,ICIHUA1,https://www.wunderground.com/dashboard/pws/ICIHUA1,"Cihuatlán, MX",28.444444444444443,0.0,67,6.436,14.481,0.0,S,COSTA SUR,Cihuatlán,Base 02
68,ILAHUE7,https://www.wunderground.com/dashboard/pws/ILAHUE7,"La Huerta, MX",29.72222222222222,0.0,63,0.0,0.0,0.0,NNW,COSTA SUR,La Huerta,Casa las Glorias
70,ILAHUE13,https://www.wunderground.com/dashboard/pws/ILAHUE13,"La Huerta, MX",,0.0,,7.2405,7.2405,0.0,E,COSTA SUR,La Huerta,Playa Punta Perula
73,ISAYUL1,https://www.wunderground.com/dashboard/pws/ISAYUL1,"Sayula, MX",23.000000000000004,0.0,53,4.6661,7.2405,0.0,NE,LAGUNAS,Sayula,Campo Miravalles
75,ITAPAL1,https://www.wunderground.com/dashboard/pws/ITAPAL1,"Tapalpa, MX",17.72222222222222,0.0,43,6.436,9.654,0.0,SW,LAGUNAS,Tapalpa,Valle de los Enigmas
77,IATEMA1,https://www.wunderground.com/dashboard/pws/IATEMA1,"Atemajac de Brizuela, MX",18.388888888888886,0.0,44,5.7924,15.607299999999999,0.0,ESE,LAGUNAS,Atemajac de Brizuela,Calle Allende
79,IATOYA3,https://www.wunderground.com/dashboard/pws/IATOYA3,"Atoyac, MX",22.61111111111111,0.0,41,6.918699999999999,13.837399999999999,0.0,W,LAGUNAS,Teocuitatlán de Corona,Localidad Tehuantepec
