,estacion,link,localidad,latitud,longitud,temp_C,lluvia_acumulada_mm,razon_lluvia,HR,vel_viento,dir_viento,racha_viento,letra_dir,acum_calc,lluvia_1hr_calc,intensidad_lluvia,REGIÓN_2,MPO_2,UMBRAL,azul_ini,azul_end,verde_ini,verde_end,amarillo_ini,amarillo_end,naranja_ini,naranja_end,rojo_ini
47,IJUANA26,https://www.wunderground.com/dashboard/pws/IJUANA26,Juanacatlán,20.030908,-103.681541,13.3,19.05,1.68,99.0,7.4,223.0,9.8,SW,18.990000000000002,0.030000000000001137,1,LAGUNAS,Tapalpa,78.0,0.0,19.5,19.6,39.0,39.1,58.5,58.6,78.0,78.1
48,ILAALA3,https://www.wunderground.com/dashboard/pws/ILAALA3,,,,,,,,,,,,0.0,0.0,5,CENTRO,El Salto,83.0,0.0,20.75,20.85,41.5,41.6,62.25,62.35,83.0,83.1
49,ILAGOS33,https://www.wunderground.com/dashboard/pws/ILAGOS33,Lagos de Moreno,21.260484,-101.943775,18.1,0.0,0.0,75.0,3.5,343.0,3.5,NNW,0.0,0.0,5,ALTOS NORTE,Lagos de Moreno,70.0,0.0,17.5,17.6,35.0,35.1,52.5,52.6,70.0,70.1
50,ILAGOS80,https://www.wunderground.com/dashboard/pws/ILAGOS80,Lagos de Moreno,21.359974,-101.948196,17.9,0.0,0.0,72.0,2.7,315.0,2.7,NW,0.0,0.0,5,ALTOS NORTE,Lagos de Moreno,70.0,0.0,17.5,17.6,35.0,35.1,52.5,52.6,70.0,70.1
51,ILAHUE13,https://www.wunderground.com/dashboard/pws/ILAHUE13,,,,,,,,,,,,0.0,0.0,5,COSTA SUR,La Huerta,153.0,0.0,38.25,38.35,76.5,76.6,114.75,114.85,153.0,153.1
52,ILAHUE18,https://www.wunderground.com/dashboard/pws/ILAHUE18,La Huerta,19.284414,-104.78423,25.0,51.1,0.0,96.0,0.0,310.0,5.4,NW,51.1,0.0,5,COSTA SUR,La Huerta,153.0,0.0,38.25,38.35,76.5,76.6,114.75,114.85,153.0,153.1
53,ILAHUE19,https://www.wunderground.com/dashboard/pws/ILAHUE19,La Huerta,19.481,-104.645,23.4,35.1,0.0,93.0,1.3,7.0,3.9,N,34.84,0.0,5,COSTA SUR,La Huerta,153.0,0.0,38.25,38.35,76.5,76.6,114.75,114.85,153.0,153.1
54,ILAHUE7,https://www.wunderground.com/dashboard/pws/ILAHUE7,,,,,,,,,,,,1.5,0.0,5,COSTA SUR,La Huerta,153.0,0.0,38.25,38.35,76.5,76.6,114.75,114.85,153.0,153.1
55,ILAMAN3,https://www.wunderground.com/dashboard/pws/ILAMAN3,,,,,,,,,,,,0.0,0.0,5,SURESTE,La Manzanilla de la Paz,77.0,0.0,19.25,19.35,38.5,38.6,57.75,57.85,77.0,77.1
56,ILAMAN50,https://www.wunderground.com/dashboard/pws/ILAMAN50,La Manzanilla de la Paz,19.998794,-103.156546,15.8,1.45,0.71,96.0,6.9,245.0,15.6,WSW,1.45,0.7,1,SURESTE,La Manzanilla de la Paz,77.0,0.0,19.25,19.35,38.5,38.6,57.75,57.85,77.0,77.1
57,ILARES47,https://www.wunderground.com/dashboard/pws/ILARES47,La Resolana,19.603,-104.436,23.1,119.13,0.0,95.0,1.9,235.0,4.2,SW,119.13,0.0,5,COSTA SUR,Casimiro Castillo,134.0,0.0,33.5,33.6,67.0,67.1,100.5,100.6,134.0,134.1
58,ILASPA124,https://www.wunderground.com/dashboard/pws/ILASPA124,,,,,,,,,,,,0.0,0.0,5,SIERRA COSTA-OCCIDEN,Puerto Vallarta,151.0,0.0,37.75,37.85,75.5,75.6,113.25,113.35,151.0,151.1
59,ILEN82,https://www.wunderground.com/dashboard/pws/ILEN82,León,21.102902,-101.768405,19.8,0.0,0.0,70.0,5.4,12.0,5.4,NNE,0.0,0.0,5,,,,,,,,,,,,
60,ILOSGA1,https://www.wunderground.com/dashboard/pws/ILOSGA1,Los Gavilanes,20.570759,-103.4646,18.3,6.91,0.0,95.0,0.0,298.0,0.0,WNW,6.91,0.0,5,CENTRO,Tlajomulco de Zúñiga,80.0,0.0,20.0,20.1,40.0,40.1,60.0,60.1,80.0,80.1
61,IMASCO29,https://www.wunderground.com/dashboard/pws/IMASCO29,Mascota,20.67756,-105.09398,24.2,21.04,0.03,94.0,0.8,48.0,3.7,NE,21.0,0.0,5,SIERRA COSTA-OCCIDEN,Mascota,101.0,0.0,25.25,25.35,50.5,50.6,75.75,75.85,101.0,101.1
62,IMAZAM15,https://www.wunderground.com/dashboard/pws/IMAZAM15,Mazamitla,19.915,-103.015,14.4,2.31,0.0,99.0,2.9,146.0,3.6,SE,2.31,0.0,5,SURESTE,Mazamitla,77.0,0.0,19.25,19.35,38.5,38.6,57.75,57.85,77.0,77.1
63,IMAZAM19,https://www.wunderground.com/dashboard/pws/IMAZAM19,,,,,,,,,,,,0.0,0.0,5,SURESTE,Mazamitla,77.0,0.0,19.25,19.35,38.5,38.6,57.75,57.85,77.0,77.1
64,IMAZAM20,https://www.wunderground.com/dashboard/pws/IMAZAM20,,,,,,,,,,,,0.0,0.0,5,SURESTE,Mazamitla,77.0,0.0,19.25,19.35,38.5,38.6,57.75,57.85,77.0,77.1
65,IMAZAM21,https://www.wunderground.com/dashboard/pws/IMAZAM21,Mazamitla,19.923805,-103.016074,15.0,2.05,0.0,100.0,6.0,160.0,13.0,SSE,2.05,0.0,5,SURESTE,Mazamitla,77.0,0.0,19.25,19.35,38.5,38.6,57.75,57.85,77.0,77.1
66,IMAZAM22,https://www.wunderground.com/dashboard/pws/IMAZAM22,Mazamitla,19.906418,-103.032572,15.5,2.12,0.0,100.0,0.5,120.0,4.0,ESE,2.12,0.0,5,SURESTE,Mazamitla,77.0,0.0,19.25,19.35,38.5,38.6,57.75,57.85,77.0,77.1
67,IMEZQU2,https://www.wunderground.com/dashboard/pws/IMEZQU2,Mezquitic,22.320388,-103.6891,21.6,0.0,0.0,58.0,4.8,91.0,27.4,E,0.0,0.0,5,NORTE,Mezquitic,69.0,0.0,17.25,17.35,34.5,34.6,51.75,51.85,69.0,69.1
68,IMIXTL1,https://www.wunderground.com/dashboard/pws/IMIXTL1,,,,,,,,,,,,0.0,0.0,5,SIERRA COSTA-OCCIDEN,Mixtlán,88.0,0.0,22.0,22.1,44.0,44.1,66.0,66.1,88.0,88.1
69,INEXTI1,https://www.wunderground.com/dashboard/pws/INEXTI1,Nextipac,20.767487,-103.525996,21.4,0.51,0.0,83.0,0.0,0.0,3.2,N,0.51,0.0,5,CENTRO,Zapopan,84.0,0.0,21.0,21.1,42.0,42.1,63.0,63.1,84.0,84.1
70,INOCHI2,https://www.wunderground.com/dashboard/pws/INOCHI2,Nochistlan,21.36421,-102.845887,20.2,0.0,0.0,73.0,2.2,63.0,2.2,ENE,0.0,0.0,5,,,,,,,,,,,,
71,IPALOM24,https://www.wunderground.com/dashboard/pws/IPALOM24,Palomar,20.593201,-103.456423,18.8,0.0,0.0,79.0,0.0,235.0,1.0,SW,0.0,0.0,5,CENTRO,Tlajomulco de Zúñiga,80.0,0.0,20.0,20.1,40.0,40.1,60.0,60.1,80.0,80.1
72,IPONCI1,https://www.wunderground.com/dashboard/pws/IPONCI1,Poncitlán,20.372834,-102.917198,20.9,0.0,0.0,82.0,6.4,159.0,11.3,SSE,0.0,0.0,5,CIENEGA,Poncitlán,82.0,0.0,20.5,20.6,41.0,41.1,61.5,61.6,82.0,82.1
73,IPONCI3,https://www.wunderground.com/dashboard/pws/IPONCI3,Poncitlán,20.38172,-102.933745,21.2,0.29,0.18,83.0,2.6,205.0,6.9,SSW,0.29,0.0,5,CIENEGA,Poncitlán,82.0,0.0,20.5,20.6,41.0,41.1,61.5,61.6,82.0,82.1
74,IPORTE154,https://www.wunderground.com/dashboard/pws/IPORTE154,Portezuelo,20.413536,-102.517678,20.9,0.0,0.0,79.0,2.3,270.0,5.0,W,0.0,0.0,5,CIENEGA,La Barca,78.0,0.0,19.5,19.6,39.0,39.1,58.5,58.6,78.0,78.1
75,IPUERT143,https://www.wunderground.com/dashboard/pws/IPUERT143,Puerto Vallarta,20.648222,-105.23535,25.7,3.56,0.51,96.0,3.2,53.0,9.7,NE,3.0500000000000003,0.0,1,SIERRA COSTA-OCCIDEN,Puerto Vallarta,151.0,0.0,37.75,37.85,75.5,75.6,113.25,113.35,151.0,151.1
